Property Type,Address,Region,Rent,Total Rent,Area,Rooms,Bathrooms,Garage,Furnished
Apartamento,Estrada Mapuá,Jacarepaguá,1.6,2.048,46,2,1,1.0,0
Apartamento,Rua Carolina Santos,Lins de Vasconcelos,1.3,2.092,66,3,1,1.0,0
Apartamento,Rua Eulina Ribeiro,Engenho de Dentro,1.5,2.278,65,3,2,1.0,0
Apartamento,Rua Conde de Bonfim,Tijuca,1.518,2.536,60,1,1,1.0,0
Apartamento,Estrada dos Bandeirantes,Jacarepaguá,3.3,4.052,49,2,1,1.0,1
Apartamento,Avenida Henrique Dumont,Ipanema,15.0,18.54,150,3,3,1.0,0
Apartamento,Rua Afonso Ferreira,Engenho de Dentro,1.087,1.451,41,2,1,1.0,0
Apartamento,Rua Quiririm,Vila Valqueire,1.403,1.571,60,2,1,0.0,0
Apartamento,Rua Afonso Pena,Tijuca,2.5,3.699,64,2,2,0.0,0
Apartamento,Rua Camaraipe,Taquara,1.15,1.194,35,1,1,0.0,0
Apartamento,Rua Dionísio,Penha,1.0,1.476,56,3,1,0.0,0
Apartamento,Rua Visconde de Santa Isabel,Vila Isabel,1.669,2.329,64,2,2,1.0,0
Apartamento,Rua Marquês de Jacarepaguá,Taquara,1.443,2.361,65,3,2,1.0,0
Apartamento,Rua Patagônia,Penha,1.3,1.81,77,2,1,1.0,0
Apartamento,Rua Tompson Flores,Méier,1.0,1.626,58,1,1,1.0,0
Apartamento,Travessa Manuel Lôbo,Maria da Graça,1.5,1.795,80,2,1,1.0,0
Apartamento,Estrada da Covanca,Pechincha,1.2,1.929,88,2,2,1.0,0
Apartamento,Estrada do Engenho D'agua,Anil,2.8,3.724,70,3,2,1.0,1
Apartamento,Rua Bacairis,Taquara,1.073,1.711,60,1,1,1.0,0
Apartamento,Avenida Geremário Dantas,Tanque,1.39,1.983,70,2,2,0.0,0
Apartamento,Rua Fagundes Varela,Encantado,1.5,1.558,63,2,2,0.0,0
